GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.monitoring,ProcessingDeletedEvent,4,4,0,0,1,2,1,1,1,1
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.monitoring,ProcessingSuccessEvent,0,15,0,0,0,4,0,2,0,2
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.monitoring,ProcessingBlockedEvent,0,8,0,0,0,3,0,2,0,2
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.monitoring,AbstractProcessingEvent,6,41,3,3,3,11,3,5,0,5
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.monitoring,ProcessingUnblockedEvent,0,8,0,0,0,3,0,2,0,2
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.monitoring,ProcessingFailedEvent,23,41,4,0,7,9,4,3,2,3
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.monitoring,PublishingEvent,37,10,6,0,10,4,6,2,3,2
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.store,QueryAdapter,0,4,0,0,0,1,0,1,0,1
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.store,BlockedEvent,0,27,0,0,0,10,0,5,0,5
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.handler,AbstractHandler,0,14,0,0,0,5,0,3,0,3
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api,MPConfiguration,8,83,0,0,0,19,2,11,2,11
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api,Configuration,7,12,0,0,2,5,2,5,2,5
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.serialization,EventSerializer,15,37,6,4,3,5,5,1,0,1
Transactional Event Library API,com.github.jonasrutishauser.transactional.event.api.serialization,GenericSerialization,2,11,1,1,0,2,1,1,0,1
